state,district,lat,lon
Sarawak,Telang Usan,3.31723,114.82583
Selangor,Gombak,3.2330444,101.7145742
Selangor,Klang,3.0448394,101.4447363
Selangor,Kuala Langat,2.83656,101.49618
Selangor,Kuala Selangor,3.3314558,101.2513058
Selangor,Petaling,3.0988792,101.6454202
Selangor,Sabak Bernam,3.7632801,100.9844791
Selangor,Sepang,2.8008619,101.7094012
Selangor,Ulu Langat,3.08333,101.83333
Selangor,Ulu Selangor,3.53674,101.59493
Terengganu,Besut,5.8283726,102.5561096
Terengganu,Dungun,4.7643972,103.4184463
Terengganu,Hulu Terengganu,4.91069,102.76507
Terengganu,Kemaman,4.2193065,103.4225158
Terengganu,Kuala Nerus,5.3953769,103.0623954
Terengganu,Kuala Terengganu,5.3296461,103.1383265
Terengganu,Marang,5.2067138,103.2050419
Terengganu,Setiu,5.55008,102.73551
W.P. Labuan,W.P. Labuan,5.28704,115.26461
