state,district,lat,lon,uv_index_max,temperature_2m_mean,cloud_cover_mean,relative_humidity_2m_mean,sunshine_duration,precipitation_sum,et0_fao_evapotranspiration,temperature_2m_min,temperature_2m_max,shortwave_radiation_sum
Pahang,Cameron Highlands,4.4724267,101.3778646,7.51,19.23,93.62,86.31,9055622.77,2764.2,1000.59,16.96,22.32,5259.72
Pahang,Jerantut,3.9366586,102.3719554,7.57,27.71,91.25,80.75,9830122.53,2976.6,1315.66,24.38,32.19,5973.95
Pahang,Kuantan,3.7985637,103.32199,7.65,27.54,90.51,84.53,9980111.27,2673.6,1279.89,24.87,31.48,5935.61
Pahang,Lipis,4.1869878,102.0544343,7.72,27.66,91.63,81.56,9781292.42,3272.7,1293.85,24.15,32.25,5945.88
Pahang,Maran,3.5822609,102.7747424,7.51,27.78,91.42,81.62,9429287.91,2612.0,1278.51,24.34,32.34,5720.96
Pahang,Pekan,3.4895509,103.390396,7.58,27.63,90.19,84.58,10060607.91,2939.9,1293.7,25.14,31.02,6033.77
Pahang,Raub,3.7950465,101.8560075,7.68,27.02,92.57,82.41,9708014.14,3427.6,1251.91,23.42,31.7,5771.48
Pahang,Rompin,2.8049348,103.4391905,7.68,27.5,90.86,85.28,9587400.32,3536.0,1220.98,25.17,30.77,5738.08
Pahang,Temerloh,3.4505423,102.4189,7.65,27.82,91.62,81.15,9731848.46,3259.8,1327.19,24.63,32.37,6010.42
Perak,Bagan Datuk,3.9905891,100.7864404,7.75,28.06,93.1,83.38,9220165.11,3212.8,1282.74,25.64,31.14,5906.73
Perak,Batang Padang,4.1055897,101.2948867,7.82,27.38,92.27,83.86,9008363.01,5156.2,1216.98,23.93,31.9,5607.1
Perak,Hilir Perak,4.0,101.0,7.84,27.87,93.1,83.33,9084079.54,3922.6,1281.41,24.93,32.13,5832.96
Perak,Hulu Perak,5.44797,101.29715,7.66,24.95,86.16,78.73,10248809.15,2594.0,1372.26,20.83,30.06,6383.97
Perak,Kampar,4.30066,101.1614462,7.78,27.48,92.72,83.73,8775643.41,6129.3,1212.8,24.2,31.75,5585.4
Perak,Kerian,5.1142167,100.4880253,7.74,28.09,90.69,82.81,10126375.5,3007.1,1395.97,24.9,32.19,6410.44
Perak,Kinta,4.5158471,101.05368362337089,7.8,27.9,91.72,81.34,9081127.02,4957.4,1283.55,24.52,32.41,5827.13
Perak,Kuala Kangsar,4.7720713,100.9408776,7.86,27.99,90.23,80.69,9783328.73,2816.0,1363.24,24.35,33.06,6186.23
Perak,Larut Dan Matang,4.85377,100.74361,7.74,28.36,91.39,80.84,9960190.13,2939.4,1347.07,26.43,30.86,6258.92
Perak,Manjung,4.1912768,100.6592247,7.8,28.4,93.25,81.7,9415864.79,3134.9,1301.45,26.31,30.89,6020.75
Perak,Muallim,3.83333,101.5,7.78,27.03,92.83,84.66,8859514.83,5473.7,1215.83,23.67,31.65,5640.12
Perak,Perak Tengah,4.25,100.91667,7.76,27.85,93.11,83.48,9097255.12,3903.4,1302.59,24.88,32.28,5963.38
