state,district,crop_type,crop_rank_1,crop_rank_2,crop_rank_3,crop_rank_4,crop_rank_5,lat,lon,uv_index_max,temperature_2m_mean,cloud_cover_mean,relative_humidity_2m_mean,sunshine_duration,precipitation_sum,et0_fao_evapotranspiration,temperature_2m_min,temperature_2m_max,shortwave_radiation_sum,elev_mean,elev_min,elev_max,slope_mean,slope_min,slope_max,slope_std
Johor,Kota Tinggi,fruit,papaya,watermelon,dragon_fruit,banana,durian,1.7336743,103.9006975,7.69,27.58,88.57,84.09,9869408.66,2140.2,1248.78,24.86,31.61,5699.82,51.0923891343771,-14.0,907.0,3.7678609604129423,0.0,40.98691940307617,4.066577340375808
Johor,Kota Tinggi,herbs,aloe_vera,basil,belalai_gajah,betel_vine,bonglai,1.7336743,103.9006975,7.69,27.58,88.57,84.09,9869408.66,2140.2,1248.78,24.86,31.61,5699.82,51.0923891343771,-14.0,907.0,3.7678609604129423,0.0,40.98691940307617,4.066577340375808
Johor,Kota Tinggi,industrial_crops,coconut,mushroom,kelulut_bee,coffee,areca_nut,1.7336743,103.9006975,7.69,27.58,88.57,84.09,9869408.66,2140.2,1248.78,24.86,31.61,5699.82,51.0923891343771,-14.0,907.0,3.7678609604129423,0.0,40.98691940307617,4.066577340375808
Johor,Kota Tinggi,spices,calamondin_lime,lemon_grass,pink_cone_ginger,lime,asam_gelugor,1.7336743,103.9006975,7.69,27.58,88.57,84.09,9869408.66,2140.2,1248.78,24.86,31.61,5699.82,51.0923891343771,-14.0,907.0,3.7678609604129423,0.0,40.98691940307617,4.066577340375808
Johor,Kota Tinggi,vegetable,long_bean,chinese_spinach,cucumber,mustard,water_spinach,1.7336743,103.9006975,7.69,27.58,88.57,84.09,9869408.66,2140.2,1248.78,24.86,31.61,5699.82,51.0923891343771,-14.0,907.0,3.7678609604129423,0.0,40.98691940307617,4.066577340375808
Johor,Kulai,cash_crops,cassava,sweet_potato,yambean,yam,yellow_sugar_cane,1.656937,103.605879,7.65,27.37,90.65,84.67,9766137.1,2825.6,1236.54,24.76,31.19,5721.47,57.65042031758443,-1.0,651.0,3.668845523447613,0.0,31.987943649291992,3.789714542945858
Johor,Kulai,fruit,banana,durian,pineapple,rambutan,guava,1.656937,103.605879,7.65,27.37,90.65,84.67,9766137.1,2825.6,1236.54,24.76,31.19,5721.47,57.65042031758443,-1.0,651.0,3.668845523447613,0.0,31.987943649291992,3.789714542945858
Johor,Kulai,herbs,pandan,fragrant_lemon_grass,swamp_willow_weed,aloe_vera,basil,1.656937,103.605879,7.65,27.37,90.65,84.67,9766137.1,2825.6,1236.54,24.76,31.19,5721.47,57.65042031758443,-1.0,651.0,3.668845523447613,0.0,31.987943649291992,3.789714542945858
Johor,Kulai,industrial_crops,mushroom,coconut,areca_nut,coffee,honey_bee,1.656937,103.605879,7.65,27.37,90.65,84.67,9766137.1,2825.6,1236.54,24.76,31.19,5721.47,57.65042031758443,-1.0,651.0,3.668845523447613,0.0,31.987943649291992,3.789714542945858
Johor,Kulai,spices,lemon_grass,calamondin_lime,greater_galangal,pink_cone_ginger,curry_tree,1.656937,103.605879,7.65,27.37,90.65,84.67,9766137.1,2825.6,1236.54,24.76,31.19,5721.47,57.65042031758443,-1.0,651.0,3.668845523447613,0.0,31.987943649291992,3.789714542945858
Johor,Kulai,vegetable,mustard,long_bean,cucumber,ladys_finger,brinjal,1.656937,103.605879,7.65,27.37,90.65,84.67,9766137.1,2825.6,1236.54,24.76,31.19,5721.47,57.65042031758443,-1.0,651.0,3.668845523447613,0.0,31.987943649291992,3.789714542945858
Johor,Mersing,cash_crops,cassava,yellow_sugar_cane,sweet_potato,sweet_corn,yam,2.4298532,103.835494,7.73,27.67,89.59,84.83,10227096.39,2925.0,1266.29,25.33,31.04,5930.02,81.36831549191461,-16.0,1035.0,5.443143191272768,0.0,55.1345329284668,6.083171195641909
Johor,Mersing,fruit,banana,watermelon,durian,papaya,jackfruit,2.4298532,103.835494,7.73,27.67,89.59,84.83,10227096.39,2925.0,1266.29,25.33,31.04,5930.02,81.36831549191461,-16.0,1035.0,5.443143191272768,0.0,55.1345329284668,6.083171195641909
Johor,Mersing,herbs,aloe_vera,basil,belalai_gajah,betel_vine,bonglai,2.4298532,103.835494,7.73,27.67,89.59,84.83,10227096.39,2925.0,1266.29,25.33,31.04,5930.02,81.36831549191461,-16.0,1035.0,5.443143191272768,0.0,55.1345329284668,6.083171195641909
Johor,Mersing,industrial_crops,coconut,mushroom,roselle,coffee,areca_nut,2.4298532,103.835494,7.73,27.67,89.59,84.83,10227096.39,2925.0,1266.29,25.33,31.04,5930.02,81.36831549191461,-16.0,1035.0,5.443143191272768,0.0,55.1345329284668,6.083171195641909
Johor,Mersing,spices,lemon_grass,calamondin_lime,lime,asam_gelugor,asam_jawa,2.4298532,103.835494,7.73,27.67,89.59,84.83,10227096.39,2925.0,1266.29,25.33,31.04,5930.02,81.36831549191461,-16.0,1035.0,5.443143191272768,0.0,55.1345329284668,6.083171195641909
Johor,Mersing,vegetable,chinese_spinach,water_spinach,long_bean,ladys_finger,bitter_gourd,2.4298532,103.835494,7.73,27.67,89.59,84.83,10227096.39,2925.0,1266.29,25.33,31.04,5930.02,81.36831549191461,-16.0,1035.0,5.443143191272768,0.0,55.1345329284668,6.083171195641909
Johor,Muar,cash_crops,yellow_sugar_cane,yam,cassava,groundnuts,sweet_corn,2.0425046,102.5658852,7.92,27.81,90.89,83.55,9630596.46,2863.7,1283.47,25.31,31.06,5952.26,42.52363447313157,-10.0,591.0,3.7266924536384174,0.0,39.70729446411133,4.900312068727994
Johor,Muar,fruit,pineapple,durian,banana,papaya,duku,2.0425046,102.5658852,7.92,27.81,90.89,83.55,9630596.46,2863.7,1283.47,25.31,31.06,5952.26,42.52363447313157,-10.0,591.0,3.7266924536384174,0.0,39.70729446411133,4.900312068727994
Johor,Muar,herbs,fragrant_lemon_grass,mistletoe_fig,aloe_vera,basil,belalai_gajah,2.0425046,102.5658852,7.92,27.81,90.89,83.55,9630596.46,2863.7,1283.47,25.31,31.06,5952.26,42.52363447313157,-10.0,591.0,3.7266924536384174,0.0,39.70729446411133,4.900312068727994
Johor,Muar,industrial_crops,coconut,coffee,mushroom,kelulut_bee,areca_nut,2.0425046,102.5658852,7.92,27.81,90.89,83.55,9630596.46,2863.7,1283.47,25.31,31.06,5952.26,42.52363447313157,-10.0,591.0,3.7266924536384174,0.0,39.70729446411133,4.900312068727994
Johor,Muar,spices,calamondin_lime,lime,asam_gelugor,asam_jawa,black_pepper,2.0425046,102.5658852,7.92,27.81,90.89,83.55,9630596.46,2863.7,1283.47,25.31,31.06,5952.26,42.52363447313157,-10.0,591.0,3.7266924536384174,0.0,39.70729446411133,4.900312068727994
Johor,Muar,vegetable,long_bean,red_chilli,ladys_finger,cucumber,pumpkin,2.0425046,102.5658852,7.92,27.81,90.89,83.55,9630596.46,2863.7,1283.47,25.31,31.06,5952.26,42.52363447313157,-10.0,591.0,3.7266924536384174,0.0,39.70729446411133,4.900312068727994
Johor,Pontian,cash_crops,sweet_corn,yam,cassava,groundnuts,sweet_potato,1.4867387,103.3884296,7.71,27.42,88.52,84.93,10097387.67,2412.0,1277.88,24.58,31.21,5966.69,12.90524235337469,-14.0,175.0,1.0798135455930942,0.0,23.506607055664062,1.0997695444016238
Johor,Pontian,fruit,pineapple,banana,durian,duku,cempedak,1.4867387,103.3884296,7.71,27.42,88.52,84.93,10097387.67,2412.0,1277.88,24.58,31.21,5966.69,12.90524235337469,-14.0,175.0,1.0798135455930942,0.0,23.506607055664062,1.0997695444016238
Johor,Pontian,herbs,fragrant_lemon_grass,betel_vine,aloe_vera,basil,belalai_gajah,1.4867387,103.3884296,7.71,27.42,88.52,84.93,10097387.67,2412.0,1277.88,24.58,31.21,5966.69,12.90524235337469,-14.0,175.0,1.0798135455930942,0.0,23.506607055664062,1.0997695444016238
Johor,Pontian,industrial_crops,coconut,coffee,areca_nut,mushroom,honey_bee,1.4867387,103.3884296,7.71,27.42,88.52,84.93,10097387.67,2412.0,1277.88,24.58,31.21,5966.69,12.90524235337469,-14.0,175.0,1.0798135455930942,0.0,23.506607055664062,1.0997695444016238
Johor,Pontian,spices,lemon_grass,greater_galangal,calamondin_lime,turmeric,pink_cone_ginger,1.4867387,103.3884296,7.71,27.42,88.52,84.93,10097387.67,2412.0,1277.88,24.58,31.21,5966.69,12.90524235337469,-14.0,175.0,1.0798135455930942,0.0,23.506607055664062,1.0997695444016238
Johor,Pontian,vegetable,brinjal,mustard,bitter_gourd,angled_loofah,red_chilli,1.4867387,103.3884296,7.71,27.42,88.52,84.93,10097387.67,2412.0,1277.88,24.58,31.21,5966.69,12.90524235337469,-14.0,175.0,1.0798135455930942,0.0,23.506607055664062,1.0997695444016238
Johor,Segamat,cash_crops,sweet_potato,yellow_sugar_cane,cassava,sweet_corn,yam,2.5124036,102.8137391,7.78,27.45,91.14,83.63,9292786.9,2609.1,1272.2,24.57,31.64,5811.73,114.69066982645376,-2.0,1012.0,5.020507225115528,0.0,42.40123748779297,5.416776474336578
Johor,Segamat,fruit,durian,banana,papaya,watermelon,pomelo,2.5124036,102.8137391,7.78,27.45,91.14,83.63,9292786.9,2609.1,1272.2,24.57,31.64,5811.73,114.69066982645376,-2.0,1012.0,5.020507225115528,0.0,42.40123748779297,5.416776474336578
Johor,Segamat,herbs,fragrant_lemon_grass,swamp_willow_weed,cekur,petai,pandan,2.5124036,102.8137391,7.78,27.45,91.14,83.63,9292786.9,2609.1,1272.2,24.57,31.64,5811.73,114.69066982645376,-2.0,1012.0,5.020507225115528,0.0,42.40123748779297,5.416776474336578
Johor,Segamat,industrial_crops,coconut,mushroom,kelulut_bee,areca_nut,coffee,2.5124036,102.8137391,7.78,27.45,91.14,83.63,9292786.9,2609.1,1272.2,24.57,31.64,5811.73,114.69066982645376,-2.0,1012.0,5.020507225115528,0.0,42.40123748779297,5.416776474336578
Johor,Segamat,spices,calamondin_lime,lemon_grass,turmeric,greater_galangal,lime,2.5124036,102.8137391,7.78,27.45,91.14,83.63,9292786.9,2609.1,1272.2,24.57,31.64,5811.73,114.69066982645376,-2.0,1012.0,5.020507225115528,0.0,42.40123748779297,5.416776474336578
Johor,Segamat,vegetable,cucumber,mustard,angled_loofah,long_bean,bitter_gourd,2.5124036,102.8137391,7.78,27.45,91.14,83.63,9292786.9,2609.1,1272.2,24.57,31.64,5811.73,114.69066982645376,-2.0,1012.0,5.020507225115528,0.0,42.40123748779297,5.416776474336578
Johor,Tangkak,cash_crops,yellow_sugar_cane,yam,sweet_potato,yambean,sweet_corn,2.266995,102.5399606,7.8,27.6,90.83,83.17,9536739.58,2655.3,1269.27,24.83,31.39,5855.96,71.30402826123526,-9.0,1251.0,3.917381633081909,0.0,47.198516845703125,5.738879303495512
Johor,Tangkak,fruit,guava,banana,durian,papaya,starfruit,2.266995,102.5399606,7.8,27.6,90.83,83.17,9536739.58,2655.3,1269.27,24.83,31.39,5855.96,71.30402826123526,-9.0,1251.0,3.917381633081909,0.0,47.198516845703125,5.738879303495512
Johor,Tangkak,herbs,cekur,aloe_vera,basil,belalai_gajah,betel_vine,2.266995,102.5399606,7.8,27.6,90.83,83.17,9536739.58,2655.3,1269.27,24.83,31.39,5855.96,71.30402826123526,-9.0,1251.0,3.917381633081909,0.0,47.198516845703125,5.738879303495512
Johor,Tangkak,industrial_crops,coconut,mushroom,areca_nut,areca_nut,coconut,2.266995,102.5399606,7.8,27.6,90.83,83.17,9536739.58,2655.3,1269.27,24.83,31.39,5855.96,71.30402826123526,-9.0,1251.0,3.917381633081909,0.0,47.198516845703125,5.738879303495512
Johor,Tangkak,spices,calamondin_lime,lime,lemon_grass,asam_gelugor,asam_jawa,2.266995,102.5399606,7.8,27.6,90.83,83.17,9536739.58,2655.3,1269.27,24.83,31.39,5855.96,71.30402826123526,-9.0,1251.0,3.917381633081909,0.0,47.198516845703125,5.738879303495512
Johor,Tangkak,vegetable,mustard,chinese_spinach,water_spinach,long_bean,chinese_kale,2.266995,102.5399606,7.8,27.6,90.83,83.17,9536739.58,2655.3,1269.27,24.83,31.39,5855.96,71.30402826123526,-9.0,1251.0,3.917381633081909,0.0,47.198516845703125,5.738879303495512
Kedah,Baling,cash_crops,sweet_corn,yellow_sugar_cane,cassava,yam,groundnuts,5.673531,100.9177907,7.69,28.02,85.32,78.63,10482276.72,2785.6,1438.4,24.1,33.09,6309.35,314.5477149341471,-1.0,1853.0,10.226385543405367,0.0,58.89056396484375,8.116854481296404
Kedah,Baling,fruit,pineapple,watermelon,banana,jackfruit,papaya,5.673531,100.9177907,7.69,28.02,85.32,78.63,10482276.72,2785.6,1438.4,24.1,33.09,6309.35,314.5477149341471,-1.0,1853.0,10.226385543405367,0.0,58.89056396484375,8.116854481296404
Kedah,Baling,herbs,petai,jering,pandan,swamp_willow_weed,aloe_vera,5.673531,100.9177907,7.69,28.02,85.32,78.63,10482276.72,2785.6,1438.4,24.1,33.09,6309.35,314.5477149341471,-1.0,1853.0,10.226385543405367,0.0,58.89056396484375,8.116854481296404
Kedah,Baling,industrial_crops,coconut,areca_nut,coffee,kelulut_bee,mushroom,5.673531,100.9177907,7.69,28.02,85.32,78.63,10482276.72,2785.6,1438.4,24.1,33.09,6309.35,314.5477149341471,-1.0,1853.0,10.226385543405367,0.0,58.89056396484375,8.116854481296404
Kedah,Baling,spices,lemon_grass,lime,asam_gelugor,kaffir_lime,calamondin_lime,5.673531,100.9177907,7.69,28.02,85.32,78.63,10482276.72,2785.6,1438.4,24.1,33.09,6309.35,314.5477149341471,-1.0,1853.0,10.226385543405367,0.0,58.89056396484375,8.116854481296404
Kedah,Baling,vegetable,red_chilli,cucumber,ladys_finger,mustard,pumpkin,5.673531,100.9177907,7.69,28.02,85.32,78.63,10482276.72,2785.6,1438.4,24.1,33.09,6309.35,314.5477149341471,-1.0,1853.0,10.226385543405367,0.0,58.89056396484375,8.116854481296404
Kedah,Bandar Baharu,cash_crops,cassava,yam,sweet_corn,groundnuts,sweet_potato,5.13131,100.4973023,7.72,28.09,90.69,82.81,10126375.5,3007.1,1395.97,24.9,32.19,6410.44,57.30715471882812,-10.0,482.0,4.897775459726591,0.0,35.39124298095703,5.846135229618318
Kedah,Bandar Baharu,fruit,watermelon,durian,banana,mangosteen,pineapple,5.13131,100.4973023,7.72,28.09,90.69,82.81,10126375.5,3007.1,1395.97,24.9,32.19,6410.44,57.30715471882812,-10.0,482.0,4.897775459726591,0.0,35.39124298095703,5.846135229618318
Kedah,Bandar Baharu,herbs,jering,petai,swamp_willow_weed,pandan,aloe_vera,5.13131,100.4973023,7.72,28.09,90.69,82.81,10126375.5,3007.1,1395.97,24.9,32.19,6410.44,57.30715471882812,-10.0,482.0,4.897775459726591,0.0,35.39124298095703,5.846135229618318
Kedah,Bandar Baharu,industrial_crops,coconut,mushroom,kelulut_bee,areca_nut,coffee,5.13131,100.4973023,7.72,28.09,90.69,82.81,10126375.5,3007.1,1395.97,24.9,32.19,6410.44,57.30715471882812,-10.0,482.0,4.897775459726591,0.0,35.39124298095703,5.846135229618318
Kedah,Bandar Baharu,spices,calamondin_lime,lemon_grass,lime,asam_gelugor,turmeric,5.13131,100.4973023,7.72,28.09,90.69,82.81,10126375.5,3007.1,1395.97,24.9,32.19,6410.44,57.30715471882812,-10.0,482.0,4.897775459726591,0.0,35.39124298095703,5.846135229618318
Kedah,Bandar Baharu,vegetable,ladys_finger,cucumber,pumpkin,long_bean,red_chilli,5.13131,100.4973023,7.72,28.09,90.69,82.81,10126375.5,3007.1,1395.97,24.9,32.19,6410.44,57.30715471882812,-10.0,482.0,4.897775459726591,0.0,35.39124298095703,5.846135229618318
Kedah,Kota Setar,cash_crops,cassava,groundnuts,sweet_corn,sweet_potato,yam,6.11135,100.294106,7.65,28.43,84.4,78.57,11339568.32,2291.3,1521.24,25.01,32.86,6702.57,4.874535697441715,-16.0,213.0,0.6546490443454823,0.0,43.84934616088867,1.2334481745610688
Kedah,Kota Setar,fruit,banana,cempedak,ciku,dokong,dragon_fruit,6.11135,100.294106,7.65,28.43,84.4,78.57,11339568.32,2291.3,1521.24,25.01,32.86,6702.57,4.874535697441715,-16.0,213.0,0.6546490443454823,0.0,43.84934616088867,1.2334481745610688
