date,rainfall (mm),temperature (C)
58:31.3,0.41,26.30416667
58:31.3,0.61,26.34583333
58:31.3,0,28.45
58:31.3,12.83,28.22083333
58:31.3,0,26.18333333
58:31.3,0,27.7625
58:31.3,68.22,26.81666667
58:31.3,0.01,27.02916667
58:31.3,61.8,25.39583333
58:31.3,22.8,25.59166667
58:31.3,9.2,27.175
58:31.3,17.63,25.54166667
58:31.3,11.82,25.3625
58:31.3,0.41,25.95
58:31.3,14.21,25.34166667
58:31.3,0,26.40833333
58:31.3,0.61,25.5
58:31.3,5.41,26.15416667
58:31.3,7.43,25.60833333
58:31.3,9.22,25.45416667
58:31.3,11.03,25.9125
58:31.3,1.62,25.6
58:31.3,2.42,25.40833333
58:31.3,0,26.92916667
58:31.3,11.4,25.1875
58:31.3,1.64,26.45
58:31.3,1.01,25.64166667
58:31.3,7.64,26.35
58:31.3,4.84,25.5
58:31.3,2.81,25.675
58:31.3,5.01,25.40416667
58:31.3,0.21,27.05833333
58:31.3,0,28.225
58:31.3,0.41,26.7
58:31.3,2.42,26.75416667
58:31.3,1.43,26.75833333
58:31.3,0,26.8625
58:31.3,2.82,26.44583333
58:31.3,0,27.80833333
58:31.3,16.02,26.80833333
58:31.3,49.41,27.2125
58:31.3,9.27,24.4625
58:31.3,10.81,24.07916667
58:31.3,0,26.94166667
58:31.3,0,27.55833333
58:31.3,12.02,25.27083333
58:31.3,14.24,25.92083333
58:31.3,5.22,25.94583333
58:31.3,0,27.04583333
58:31.3,1.22,27.90416667
58:31.3,0.4,26.55
58:31.3,0,27.08333333
58:31.3,16.02,26.50833333
58:31.3,0.6,26.90833333
58:31.3,20.02,25.6
58:31.3,2.62,27.10416667
58:31.3,2.6,26.47083333
58:31.3,0.8,27.5125
58:31.3,45.43,25.3375
58:31.3,1.83,26.16666667
58:31.3,0,27.06666667
58:31.3,0,27.45833333
58:31.3,16.42,27.21666667
58:31.3,18.82,26.82916667
58:31.3,0,28.54166667
58:31.3,0,29.00833333
58:31.3,0,29.97916667
58:31.3,0,28.65
58:31.3,15.02,28.35
58:31.3,0.21,28.63333333
58:31.3,1.01,29.20416667
58:31.3,35.41,27.225
58:31.3,0,28.18333333
58:31.3,16.61,26.85833333
58:31.3,0.4,26.96666667
58:31.3,0.81,27.6625
58:31.3,99.6,26.175
58:31.3,13.81,26.4875
58:31.3,4.61,27.3875
58:31.3,16.23,24.98333333
58:31.3,14.41,25.8
58:31.3,0.02,27.3125
58:31.3,4.83,27.28333333
58:31.3,0.43,27.3875
58:31.3,0.41,27.5125
58:31.3,46.23,25.26666667
58:31.3,0,26.875
58:31.3,0.21,28.175
58:31.3,0,27.30833333
58:31.3,32.2,27.2375
58:31.3,0,27.02916667
58:31.3,2.6,27.38333333
58:31.3,19.21,26.13333333
58:31.3,0,27.42083333
58:31.3,4.21,27.87083333
58:31.3,8.64,25.70833333
58:31.3,5.42,27.02916667
58:31.3,0,27.475
58:31.3,42.81,27.55833333
58:31.3,19.01,27.03333333
58:31.3,0,26.7875
58:31.3,7.82,25.49166667
58:31.3,0.21,26.55
58:31.3,5.22,26.51666667
58:31.3,6.82,25.60416667
58:31.3,4,26.58333333
58:31.3,0.21,26.67916667
58:31.3,2.04,25.45833333
58:31.3,0,27.19583333
58:31.3,0.81,27.8875
58:31.3,10.43,27.27916667
58:31.3,1.23,27.0875
58:31.3,2.22,27.44583333
58:31.3,0.84,27.37083333
58:31.3,3.2,28.16666667
58:31.3,7.23,27.3
58:31.3,3.03,26.3625
58:31.3,0,27.0875
58:31.3,7.82,27.05416667
58:31.3,0,27.14583333
58:31.3,0,27.1625
58:31.3,69.62,26.80833333
58:31.3,13.87,25.82916667
58:31.3,24.02,25.77083333
58:31.3,10.84,25.97083333
58:31.3,13.61,26.62916667
58:31.3,0.41,26.60416667
58:31.3,0.24,27.025
58:31.3,28.81,25.80416667
58:31.3,9.82,26.39583333
58:31.3,2.82,26.3
58:31.3,8.86,26.5625
58:31.3,0,27.14166667
58:31.3,0,27.9625
58:31.3,5.62,28.35833333
58:31.3,3.64,27.3375
58:31.3,84.41,25.34166667
58:31.3,7.03,25.5625
58:31.3,0.22,27.55
